Year,UniqueCarrier,DepDelay
1999,United Air Lines Inc.,0.160449139
2000,Alaska Airlines Inc.,0.220171109
2000,Aloha Airlines Inc.,0.057720188
2000,American Airlines Inc.,0.172123164
2000,Continental Air Lines Inc.,0.144256506
2000,Delta Air Lines Inc.,0.15145111
2000,Northwest Airlines Inc.,0.145976055
2000,Southwest Airlines Co.,0.229396983
2000,Trans World Airways LLC,0.168145966
2000,US Airways,0.190793607
2000,United Air Lines Inc.,0.256718421
2002,Alaska Airlines Inc.,0.17154541
2002,American Airlines Inc.,0.109661806
2002,American Eagle Airlines Inc.,0.147387178
2002,Continental Air Lines Inc.,0.087250881
2002,Delta Air Lines Inc.,0.114110583
2002,Northwest Airlines Inc.,0.123851862
2002,Southwest Airlines Co.,0.168181699
2002,US Airways,0.115858853
2002,United Air Lines Inc.,0.107234894
2003,ATA Airlines,0.122918353
2003,AirTran Airways Corporation,0.159364202
2003,Alaska Airlines Inc.,0.151496962
2003,American Airlines Inc.,0.119475009
2003,American Eagle Airlines Inc.,0.144566043
2003,Atlantic Southeast Airlines,0.176119425
2003,Continental Air Lines Inc.,0.099946489
2003,Delta Air Lines Inc.,0.100091278
2003,Expressjet Airlines Inc.,0.106624483
2003,Hawaiian Airlines Inc.,0.057080833
2003,Independence Air,0.182911523
2003,JetBlue Airways,0.134347464
2003,Northwest Airlines Inc.,0.095093758
2003,Skywest Airlines Inc.,0.084803214
2003,Southwest Airlines Co.,0.11961722
2003,US Airways,0.124442412
2003,United Air Lines Inc.,0.109698009
2004,ATA Airlines,0.128447169
2004,AirTran Airways Corporation,0.191857675
2004,Alaska Airlines Inc.,0.19675194
2004,American Airlines Inc.,0.167245486
2004,American Eagle Airlines Inc.,0.183589739
2004,Atlantic Southeast Airlines,0.188513274
2004,Comair Inc.,0.164410493
2004,Continental Air Lines Inc.,0.124364829
2004,Delta Air Lines Inc.,0.147558745
2004,Expressjet Airlines Inc.,0.127186887
2004,Hawaiian Airlines Inc.,0.043243131
2004,Independence Air,0.199248929
2004,JetBlue Airways,0.152848587
2004,Northwest Airlines Inc.,0.11658315
2004,Skywest Airlines Inc.,0.121377156
2004,Southwest Airlines Co.,0.180715143
2004,US Airways,0.153040149
2004,United Air Lines Inc.,0.141869913
2006,ATA Airlines,0.196204469
2006,AirTran Airways Corporation,0.21415136
2006,Alaska Airlines Inc.,0.207146621
2006,Aloha Airlines Inc.,0.065221692
2006,American Airlines Inc.,0.190101881
2006,American Eagle Airlines Inc.,0.214376609
2006,Atlantic Southeast Airlines,0.276865964
2006,Comair Inc.,0.175430332
2006,Continental Air Lines Inc.,0.192902786
2006,Delta Air Lines Inc.,0.165916465
2006,Expressjet Airlines Inc.,0.181994246
2006,Frontier Airlines Inc.,0.146339029
2006,Hawaiian Airlines Inc.,0.034423936
2006,JetBlue Airways,0.202803534
2006,Mesa Airlines Inc.,0.210257773
2006,Northwest Airlines Inc.,0.155458788
2006,Skywest Airlines Inc.,0.175450503
2006,Southwest Airlines Co.,0.1978494
2006,US Airways,0.164676613
2006,United Air Lines Inc.,0.198606822
2005,ATA Airlines,0.1159854
2005,AirTran Airways Corporation,0.248101253
2005,Alaska Airlines Inc.,0.257906388
2005,American Airlines Inc.,0.175435627
2005,American Eagle Airlines Inc.,0.16460852
2005,Atlantic Southeast Airlines,0.222615027
2005,Comair Inc.,0.139147263
2005,Continental Air Lines Inc.,0.152409653
2005,Delta Air Lines Inc.,0.152548526
2005,Expressjet Airlines Inc.,0.147218569
2005,Frontier Airlines Inc.,0.146784339
2005,Hawaiian Airlines Inc.,0.031504888
2005,Independence Air,0.145048794
2005,JetBlue Airways,0.214849167
2005,Northwest Airlines Inc.,0.161104086
2005,Skywest Airlines Inc.,0.136097122
2005,Southwest Airlines Co.,0.183097273
2005,US Airways,0.163939422
2005,United Air Lines Inc.,0.173601307
2007,AirTran Airways Corporation,0.182794432
2007,Alaska Airlines Inc.,0.219845803
2007,Aloha Airlines Inc.,0.06757981
2007,American Airlines Inc.,0.237610376
2007,American Eagle Airlines Inc.,0.229042321
2007,Atlantic Southeast Airlines,0.302989861
2007,Comair Inc.,0.211513044
2007,Continental Air Lines Inc.,0.200698745
2007,Delta Air Lines Inc.,0.156805474
2007,Expressjet Airlines Inc.,0.196525543
2007,Frontier Airlines Inc.,0.174601064
2007,Hawaiian Airlines Inc.,0.035941255
2007,JetBlue Airways,0.22603813
2007,Mesa Airlines Inc.,0.199319206
2007,Northwest Airlines Inc.,0.178169765
2007,Pinnacle Airlines Inc.,0.152867866
2007,Skywest Airlines Inc.,0.173604491
2007,Southwest Airlines Co.,0.197277544
2007,US Airways,0.223694863
2007,United Air Lines Inc.,0.222801131
2008,AirTran Airways Corporation,0.175551428
2008,Alaska Airlines Inc.,0.161692102
2008,Aloha Airlines Inc.,0.045641026
2008,American Airlines Inc.,0.222777883
2008,American Eagle Airlines Inc.,0.201963346
2008,Atlantic Southeast Airlines,0.204979061
2008,Comair Inc.,0.191526616
2008,Continental Air Lines Inc.,0.211452313
2008,Delta Air Lines Inc.,0.15647964
2008,Expressjet Airlines Inc.,0.192779899
2008,Frontier Airlines Inc.,0.154769115
2008,Hawaiian Airlines Inc.,0.061851001
2008,JetBlue Airways,0.203731941
2008,Mesa Airlines Inc.,0.194829953
2008,Northwest Airlines Inc.,0.145248697
2008,Pinnacle Airlines Inc.,0.136856999
2008,Skywest Airlines Inc.,0.154394094
2008,Southwest Airlines Co.,0.189596207
2008,US Airways,0.133512938
2008,United Air Lines Inc.,0.222039309
